Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Estonia","NET-EE004A","""Estonian Air Quality Monitoring Network""","EE0018A","""Õismäe""","SPO-EE0018A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","4.642","ug/m3","100.00","1","Background","Urban","24.6495","59.4142","6.0","Tallinn                                                                         ","EE001C1                                           ","438341","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=EE&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-EE0018A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"France","NET-FR071A","ATMO AUVERGNE-RHÔNE-ALPES","FR07004","Montferrand","SPO-FR07004_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","8.117","ug/m3","99.53","1","Background","Urban","3.1138","45.7973","340.0","Clermont-Ferrand                                                                ","FR022C2                                           ","195162","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FR&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FR07004&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"France","NET-FR074A","ATMO HAUTS DE FRANCE","FR11025","Lille Fives","SPO-FR11025_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","13.306","ug/m3","92.13","1","Background","Urban","3.0903","50.6281","25.0","Lille                                                                           ","FR009C1                                           ","906981","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FR&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FR11025&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"France","NET-FR071A","ATMO AUVERGNE-RHÔNE-ALPES","FR15043","Grenoble Les Frenes","SPO-FR15043_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","10.938","ug/m3","93.95","1","Background","Urban","5.7356","45.1619","219.0","Grenoble                                                                        ","FR026C2                                           ","305569","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FR&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FR15043&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"France","NET-FR074A","ATMO HAUTS DE FRANCE","FR06003","Douai Theuriet","SPO-FR06003_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.372","ug/m3","93.00","1","Background","Urban","3.0659","50.3782","28.0","Douai                                                                           ","FR209C2                                           ","86074","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FR&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FR06003&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0ASTO","Praha 5-Stodulky","SPO.CZ_ASTOA_PM2_5_867319","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.280","ug/m3","99.84","1","Background","Urban","14.3314","50.0461","309.0","Praha                                                                           ","CZ001C1                                           ","1324277","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_ASTO&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0BBNI","Brno-Lisen","SPO.CZ_BBNIA_PM2_5_1368852","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","13.783","ug/m3","99.00","1","Background","Urban","16.6780","49.2132","340.0","Brno                                                                            ","CZ002C1                                           ","381346","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_BBNI&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0CCBD","Ceske Budejovice","SPO.CZ_CCBDA_PM2_5_40743","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.782","ug/m3","98.21","1","Background","Urban","14.4657","48.9844","383.0","Ceské Budejovice                                                                ","CZ008C1                                           ","94463","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_CCBD&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0BBDN","Brno - Detska nemocnice","SPO.CZ_BBDNA_PM2_5_1316708","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","16.262","ug/m3","99.02","1","Background","Urban","16.6163","49.2027","225.0","Brno                                                                            ","CZ002C1                                           ","381346","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_BBDN&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0EPAU","Pardubice Dukla","SPO.CZ_EPAUM_PM2_5_242604","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","14.852","ug/m3","98.90","1","Background","Urban","15.7635","50.0240","239.0","Pardubice                                                                       ","CZ010C1                                           ","91727","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_EPAU&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"Albania","NET-AL001A","National Environment Agency","AL0204A","Vlora","SPO-AL0204A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","10.315","ug/m3","75.10","1","Background","Urban","19.4862","40.4031","25.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AL&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-AL0204A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32301","St. Pölten Eybnerstraße","SPO.03.2301.65506.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.653","ug/m3","99.97","1","Background","Suburban","15.6325","48.2116","270.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.03.2301&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32701","Schwechat Sportplatz, Mühlgasse","SPO.03.2701.64380.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.777","ug/m3","99.70","1","Background","Suburban","16.4759","48.1456","155.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.03.2701&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S173","Steyregg Au, Freizeitpark","SPO.04.S173.65929.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.451","ug/m3","98.55","1","Background","Suburban","14.3665","48.2797","250.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.04.S173&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S184","Linz Stadtpark, Noßbergerstraße","SPO.04.S184.63488.6001.1","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.518","ug/m3","100.00","1","Background","Urban","14.2975","48.3061","260.0","Linz                                                                            ","AT003C1                                           ","193814","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.04.S184&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"Denmark","NET-DK004A","""Danish Air Quality Monitoring Programme""","DK0012R","""Risoe""","SPO-DK0012R_06001_103","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","10.250","ug/m3","97.53","1","Background","Rural","12.0889","55.6942","3.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DK&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-DK0012R&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"Denmark","NET-DK004A","""Danish Air Quality Monitoring Programme""","DK0057A","""Hvidover""","SPO-DK0057A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","9.545","ug/m3","98.90","1","Background","Suburban","12.4633","55.6320","5.0","København                                                                       ","DK001C1                                           ","559440","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DK&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-DK0057A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"France","NET-FR004A","AIRPARIF","FR04048","Zone Rurale Nord","SPO-FR04048_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","8.727","ug/m3","97.59","1","Background","Rural","2.3439","49.1003","140.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FR&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FR04048&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Finland","NET-FI002A","Ilmatieteen laitoksen verkko","FI00893","Virolahti 2","SPO-FI00893_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","4.724","ug/m3","99.81","1","Background","Rural","27.6754","60.5300","4.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FI&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FI00893&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Finland","NET-FI021A","Lohjan verkko","FI00761","Nahkurintori 2","SPO-FI00761_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","5.238","ug/m3","99.57","1","Background","Urban","24.0628","60.2513","52.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FI&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FI00761&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0UMOM","Most","SPO.CZ_UMOMA_PM2_5_40369","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","15.136","ug/m3","98.25","1","Background","Urban","13.6453","50.5104","221.0","Most                                                                            ","CZ016C1                                           ","66034","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_UMOM&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Denmark","NET-DK004A","""Danish Air Quality Monitoring Programme""","DK0053A","""Aalborg/8158""","SPO-DK0053A_06001_101","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","9.558","ug/m3","95.89","1","Background","Urban","9.9309","57.0467","30.0","Aalborg                                                                         ","DK004C2                                           ","203448","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DK&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-DK0053A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"Denmark","NET-DK004A","""Danish Air Quality Monitoring Programme""","DK0056A","""Århus/6160""","SPO-DK0056A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","9.398","ug/m3","96.44","1","Background","Urban","10.1936","56.1598","21.0","Århus                                                                           ","DK002C1                                           ","319094","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=DK&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-DK0056A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"Estonia","NET-EE004A","""Estonian Air Quality Monitoring Network""","EE0022A","""Narva""","SPO-EE0022A_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","4.783","ug/m3","98.90","1","Background","Urban","28.1792","59.3762","25.0","Narva                                                                           ","EE003C1                                           ","53424","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=EE&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-EE0022A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","day"
"Finland","NET-FI004A","Helsingin seudun verkko (HSY)","FI00425","Kallio 2","SPO-FI00425_06001_100","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","5.524","ug/m3","98.62","1","Background","Urban","24.9506","60.1874","18.0","Helsinki / Helsingfors (greater city)                                           ","FI001K2                                           ","1154967","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FI&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FI00425&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0UULK","Usti n.L.-Kockov","SPO.CZ_UULKA_PM2_5_40419","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","11.378","ug/m3","99.77","1","Background","Suburban","14.0412","50.6835","367.0","Ústí nad Labem                                                                  ","CZ005C1                                           ","92716","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_UULK&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZMMN","Municipal Monitoring Network","CZ0BBML","Brno-Lany","SPO.CZ_BBMLA_PM2_5_778904","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","17.984","ug/m3","93.63","1","Background","Suburban","16.5808","49.1653","228.0","Brno                                                                            ","CZ002C1                                           ","381346","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_BBML&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZMMN","Municipal Monitoring Network","CZ0STCS","Tobolka-Certovy schody","SPO.CZ_STCSA_PM2_5_778557","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","12.025","ug/m3","99.49","1","Background","Rural","14.0945","49.9185","420.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_STCS&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0ZVMZ","Valasske Mezirici","SPO.CZ_ZVMZA_PM2_5_1369063","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","17.286","ug/m3","99.69","1","Background","Urban","17.9670","49.4721","290.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_ZVMZ&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Czechia","NET-CZ001A","National automated monitoring network (SIS)","CZ0ZTNV","Tesnovice","SPO.CZ_ZTNVA_PM2_5_1368996","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","14.251","ug/m3","98.30","1","Background","Rural","17.4106","49.2594","280.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=CZ&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA.CZ_ZTNV&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"France","NET-FR035A","AIR PAYS DE LA LOIRE","FR23182","SOURCES","SPO-FR23182_6001","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y","Annual mean / 1 calendar year","2019","9.290","ug/m3","97.83","1","Background","Urban","0.2214","47.9711","50.0","Le Mans                                                                         ","FR038C2                                           ","150369","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=FR&CityName=&Pollutant=6001&Year_from=2019&Year_to=2019&Station=STA-FR23182&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
