Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31204","Pöchlarn","SPO.03.1204.3771.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","15.570","ug/m3","94.62","1","Background","Rural","15.2050","48.2127","216.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.1204&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30601","Klosterneuburg Meynertgasse","SPO.03.0601.1216.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","11.146","ug/m3","95.58","1","Background","Suburban","16.3139","48.3025","260.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0601&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31401","Mödling Bachgasse","SPO.03.1401.1201.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","14.224","ug/m3","95.61","1","Background","Suburban","16.3022","48.0861","215.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.1401&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.01","Amt der Burgenländischen Landesregierung","AT10003","Kittsee","SPO.01.0003.14.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","12.198","ug/m3","95.73","1","Background","Suburban","17.0703","48.1092","136.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.01.0003&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.01","Amt der Burgenländischen Landesregierung","AT10002","Oberschützen","SPO.01.0002.3850.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","8.522","ug/m3","95.51","1","Background","Rural","16.2079","47.3399","344.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.01.0002&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA71","Klagenfurt Sterneckstraße","SPO.02.KA71.64334.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","19.723","ug/m3","95.61","1","Background","Urban","14.2991","46.6266","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.02.KA71&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32501","Krems","SPO.03.2501.1662.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","17.532","ug/m3","95.46","1","Background","Suburban","15.6192","48.4086","200.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.2501&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30401","Gänserndorf Baumschulweg","SPO.03.0401.1181.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","9.789","ug/m3","95.50","1","Background","Rural","16.7294","48.3347","161.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0401&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31703","Traismauer","SPO.03.1703.1338.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","13.167","ug/m3","94.86","1","Background","Suburban","15.7469","48.3533","190.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.1703&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2SP10","Obervellach Schulzentrum","SPO.02.SP10.1597.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","9.092","ug/m3","95.18","1","Background","Rural","13.1945","46.9350","686.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.02.SP10&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31901","Tulln Leopoldgasse","SPO.03.1901.1709.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","13.171","ug/m3","94.55","1","Background","Suburban","16.0625","48.3294","178.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.1901&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32401","Wiener Neustadt","SPO.03.2401.1171.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","13.010","ug/m3","95.32","1","Background","Suburban","16.2550","47.8142","265.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.2401&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30302","Stixneusiedl","SPO.03.0302.1191.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","9.901","ug/m3","94.62","1","Background","Rural","16.6753","48.0500","235.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0302&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2SP18","Spittal a. d. Drau Oktoberstraße","SPO.02.SP18.1602.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","18.708","ug/m3","94.12","1","Background","Suburban","13.4939","46.8014","560.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.02.SP18&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30101","Amstetten","SPO.03.0101.1627.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","18.872","ug/m3","95.54","1","Background","Suburban","14.8788","48.1199","270.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0101&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S108","Grünbach bei Freistadt","SPO.04.S108.2861.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","4.051","ug/m3","94.27","1","Background","Rural","14.5747","48.5311","918.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S108&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30202","Forsthof am Schöpfl","SPO.03.0202.1211.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","5.627","ug/m3","95.39","1","Background","Rural","15.9189","48.1051","581.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0202&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S125","Bad Ischl, Rettenbachwaldstraße","SPO.04.S125.1720.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","12.387","ug/m3","94.46","1","Background","Suburban","13.6322","47.7161","460.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S125&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30201","Bad Vöslau, Gainfarn","SPO.03.0201.1206.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","9.999","ug/m3","95.58","1","Background","Suburban","16.2057","47.9592","265.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0201&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30407","Groß-Enzersdorf - Glinzendorf","SPO.03.0407.55180.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","10.424","ug/m3","95.42","1","Background","Rural","16.6363","48.2307","153.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0407&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32701","Schwechat Sportplatz, Mühlgasse","SPO.03.2701.1196.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","17.310","ug/m3","95.31","1","Background","Suburban","16.4759","48.1456","155.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.2701&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S406","Wels Linzerstraße","SPO.04.S406.1911.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","23.156","ug/m3","93.40","1","Background","Suburban","14.0366","48.1649","316.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S406&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S156","Braunau Zentrum, Kolpingplatz","SPO.04.S156.3948.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","17.683","ug/m3","93.74","1","Background","Suburban","13.0392","48.2575","350.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S156&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30502","Heidenreichstein Thaures","SPO.03.0502.1650.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","5.389","ug/m3","95.51","1","Background","Rural","15.0467","48.8786","570.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0502&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S409","Steyr Münichholz","SPO.04.S409.1746.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","14.269","ug/m3","94.20","1","Background","Suburban","14.4428","48.0494","305.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S409&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31502","Payerbach - Kreuzberg","SPO.03.1502.1677.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","3.595","ug/m3","94.10","1","Background","Rural","15.8600","47.6703","890.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.1502&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S404","Traun Tischlerstraße","SPO.04.S404.1756.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","20.142","ug/m3","94.37","1","Background","Suburban","14.2376","48.2253","274.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S404&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31701","Dunkelsteinerwald - Unterbergern","SPO.03.1701.1150.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","8.977","ug/m3","95.43","1","Background","Rural","15.5455","48.3703","320.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.1701&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S407","Vöcklabruck, Untere Agergasse","SPO.04.S407.5057.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","14.045","ug/m3","94.06","1","Background","Suburban","13.6676","48.0009","420.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S407&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.05","Amt der Salzburger Landesregierung","AT54057","St. Johann im Pongau, Bezirkshauptmannschaft","SPO.05.4057.64578.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","20.984","ug/m3","95.59","1","Background","Suburban","13.2056","47.3514","620.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.05.4057&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.06","Amt der Steiermärkischen Landesregierung","AT60139","Graz West - Eggenberg","SPO.06.139.276.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","23.417","ug/m3","95.65","1","Background","Suburban","15.4044","47.0694","370.0","Graz                                                                            ","AT002C1                                           ","269997","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.06.139&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.06","Amt der Steiermärkischen Landesregierung","AT60119","Knittelfeld Parkstraße","SPO.06.119.4945.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","15.345","ug/m3","95.72","1","Background","Suburban","14.8253","47.2104","635.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.06.119&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.06","Amt der Steiermärkischen Landesregierung","AT60106","Köflach","SPO.06.106.1885.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","16.857","ug/m3","95.25","1","Background","Suburban","15.0867","47.0633","445.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.06.106&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
